"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"current.time is non-blank","289","current.time is non-blank","","Thu Aug 20 16:36:10 UTC 2026","passed","Thu Aug 20 16:36:10 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","current_timePresent"
"When 200/201, response must echo back the triggers array","57","Created webhook echoes triggers array","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","schema_created_triggersEchoed"
"Empty request body should return 400","66","Empty payload returns 400 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_emptyPayload_returns400"
"windspeed >= 0","267","current.windspeed is non-negative","","Thu Aug 20 16:36:08 UTC 2026","passed","Thu Aug 20 16:36:08 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","current_windspeedNonNegative"
"POST /v1/webhooks with empty triggers array should return 400 or 403","74","Empty triggers array returns 400 or 403","","Thu Aug 20 16:35:53 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","createWebhook_emptyTriggers_returns400"
"Documented: X-RateLimit-Limit header should be present. Observed: header is currently absent on weather endpoints.","328","X-RateLimit-Limit header presence (documented contract)","","Thu Aug 20 16:35:48 UTC 2026","passed","Thu Aug 20 16:35:48 UTC 2026","","Rate Limit Tests","common.RateLimitTests","rateLimitLimit_headerPresenceDocumented"
"ai_summary null when ai=false","269","[days=3] ai_summary is null when ai=false","","Thu Aug 20 16:36:15 UTC 2026","passed","Thu Aug 20 16:36:15 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_aiSummary_null"
"POST /v1/sms/bomet/register without auth should return 401 per spec.","70","No auth returns 401","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_noAuth_returns401"
"current and geo both present","328","current and geo objects coexist","","Thu Aug 20 16:36:23 UTC 2026","passed","Thu Aug 20 16:36:23 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","current_and_geo_bothPresent"
"POST /v1/sms/alert without auth should return 401 per spec.","74","No auth returns 401","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_noAuth_returns401"
"Revoked token must return 401","83","insights revoked token returns 401","","Thu Aug 20 16:36:12 UTC 2026","passed","Thu Aug 20 16:36:12 UTC 2026","","GET /v1/insights Tests","weather.GetInsightsTests","revokedToken_returns401"
"precipitation >= 0","274","[days=7] daily[0].precipitation >= 0","","Thu Aug 20 16:36:18 UTC 2026","passed","Thu Aug 20 16:36:18 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_daily0_precipitationNonNegative"
"daily uses 'date' field","342","daily[0].date is non-blank","","Thu Aug 20 16:36:04 UTC 2026","passed","Thu Aug 20 16:36:04 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","daily_firstEntryHasDate"
"When 200, geo.lat must be −90 to 90 and geo.lon −180 to 180","145","geo.lat and geo.lon are in valid range on 200","","Thu Aug 20 16:36:13 UTC 2026","passed","Thu Aug 20 16:36:13 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","schema_geoCoordinatesValid"
"When 200, 'fallback' must be a non-blank status string (e.g. 'ok')","23","fallback field is non-blank on 200","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","schema_fallback_nonBlank"
"daily array present","288","daily array is non-empty","","Thu Aug 20 16:36:08 UTC 2026","passed","Thu Aug 20 16:36:09 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","topLevel_dailyPresent"
"GET /v1/sms/stats without auth should return 401 per spec.","11","No auth returns 401","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","smsStats_noAuth_returns401"
"lang=sw returns 200","304","lang=sw returns 200","","Thu Aug 20 16:36:07 UTC 2026","passed","Thu Aug 20 16:36:08 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","langSwahili_returns200"
"geo.ip must be non-blank","341","geo.ip is non-blank","","Thu Aug 20 16:36:25 UTC 2026","passed","Thu Aug 20 16:36:25 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","geo_ipNonBlank"
"Only required fields (to + message) returns 200/201 or 403","62","Minimal payload (no type) returns 200/201 or 403","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_minimalPayload_returns201Or403"
"days must equal 7","252","[days=7] days = 7","","Thu Aug 20 16:36:18 UTC 2026","passed","Thu Aug 20 16:36:18 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_days_isSeven"
"GET /v1/sms/health response must be application/json","13","SMS health response is application/json","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","smsHealth_isJson"
"When 200, gateway status should be 'ok' indicating a healthy gateway","15","gateway = 'ok' when healthy","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","schema_gateway_isOkWhenHealthy"
"API silently ignores unrecognised units and defaults to metric — returns 200","348","Invalid units value is ignored — returns 200","","Thu Aug 20 16:35:52 UTC 2026","passed","Thu Aug 20 16:35:52 UTC 2026","","Input Validation Tests","common.ValidationTests","invalidUnits_apiIsLenient"
"No auth returns 401","57","No auth returns 401","","Thu Aug 20 16:36:10 UTC 2026","passed","Thu Aug 20 16:36:10 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","noAuth_returns401"
"current object present","297","current object is present","","Thu Aug 20 16:36:06 UTC 2026","passed","Thu Aug 20 16:36:06 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","topLevel_currentPresent"
"An invalid token on a public endpoint should return 401, not 403","82","Invalid token on /v1/weather returns 401","","Thu Aug 20 16:35:45 UTC 2026","passed","Thu Aug 20 16:35:45 UTC 2026","","Authorization Tests","common.AuthorizationTests","invalidToken_returns401NotForbidden"
"GET /v1/forecast14 with Free plan should return 403","390","Free plan: forecast14 returns 403","","Thu Aug 20 16:35:44 UTC 2026","passed","Thu Aug 20 16:35:45 UTC 2026","","Authorization Tests","common.AuthorizationTests","forecast14_freeKeyReturns403"
"GET /v1/daily with valid coordinates returns 200","247","Daily forecast returns 200","","Thu Aug 20 16:36:27 UTC 2026","passed","Thu Aug 20 16:36:28 UTC 2026","","GET /v1/daily Tests","weather.GetDailyTests","returns200"
"Documented: X-RateLimit-Remaining should be >= 0. Observed: header is not currently returned by the API on weather endpoints.","472","X-RateLimit-Remaining (documented contract — currently absent)","","Thu Aug 20 16:35:46 UTC 2026","passed","Thu Aug 20 16:35:47 UTC 2026","","Error Handling Tests","common.ErrorHandlingTests","rateLimitRemaining_isNonNegative"
"GET /v1/daily with days=7 returns 200","291","Daily forecast days=7 returns 200","","Thu Aug 20 16:36:27 UTC 2026","passed","Thu Aug 20 16:36:27 UTC 2026","","GET /v1/daily Tests","weather.GetDailyTests","freePlanMax_returns200"
"POST /v1/webhooks without 'url' should return 400 or 403","97","Missing url returns 400 or 403","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","createWebhook_missingUrl_returns400"
"Hourly response content-type must be application/json","302","Hourly response is JSON","","Thu Aug 20 16:36:28 UTC 2026","passed","Thu Aug 20 16:36:29 UTC 2026","","GET /v1/hourly Tests","weather.GetHourlyTests","isJson"
"When 200, delivered + failed must be <= sent","77","delivered + failed <= sent","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","schema_delivery_countsConsistent"
"unlimited must be false on a free plan","213","Free plan: unlimited = false","","Thu Aug 20 16:35:59 UTC 2026","passed","Thu Aug 20 16:35:59 UTC 2026","","Usage & Quota Tests","account.UsageTests","logic_freePlanUnlimitedIsFalse"
"When 200, opt_out count or rate must be >= 0","13","opt_out is non-negative on 200","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","schema_optOut_nonNegative"
"Documented: X-RateLimit-Remaining header should be present. Observed: header is currently absent on weather endpoints.","303","X-RateLimit-Remaining header presence (documented contract)","","Thu Aug 20 16:35:50 UTC 2026","passed","Thu Aug 20 16:35:50 UTC 2026","","Rate Limit Tests","common.RateLimitTests","rateLimitRemaining_headerPresenceDocumented"
"ip=auto detects caller IP — returns 200 or 403","225","ip=auto returns 200 or 403","","Thu Aug 20 16:36:13 UTC 2026","passed","Thu Aug 20 16:36:13 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","autoIp_returns200Or403"
"A token not prefixed with 'wai_' should return 401","65","Malformed token returns 401","","Thu Aug 20 16:35:51 UTC 2026","passed","Thu Aug 20 16:35:51 UTC 2026","","Authentication Tests","common.AuthenticationTests","malformedToken_returns401"
"used + remaining = limit when within quota. When quota is exceeded, remaining = 0 and used may exceed limit (API allows overage).","452","used + remaining <= limit + used (accounting is consistent)","","Thu Aug 20 16:35:59 UTC 2026","passed","Thu Aug 20 16:36:00 UTC 2026","","Usage & Quota Tests","account.UsageTests","logic_usedPlusRemainingEqualsLimit"
"When 200/201, response must contain a non-blank createdAt timestamp","80","Created webhook createdAt is non-blank","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","schema_created_createdAtNonBlank"
"daily must have 3 entries","264","[days=3] daily has 3 entries","","Thu Aug 20 16:36:17 UTC 2026","passed","Thu Aug 20 16:36:17 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_daily_hasThreeEntries"
"DEL /v1/webhooks/:id without auth should return 401 per spec.","68","Delete webhook without auth returns 401","","Thu Aug 20 16:35:53 UTC 2026","passed","Thu Aug 20 16:35:53 UTC 2026","","Delete Webhook Tests","webhooks.DeleteWebhookTests","deleteWebhook_noAuth_returns401"
"Returns 200 on Pro/Scale, 403 on Free","123","forecast14 returns 200 or 403","","Thu Aug 20 16:36:26 UTC 2026","passed","Thu Aug 20 16:36:27 UTC 2026","","GET /v1/forecast14 Tests","weather.GetForecast14Tests","returns200Or403"
"daily[0].date non-blank","271","[days=7] daily[0].date is non-blank","","Thu Aug 20 16:36:14 UTC 2026","passed","Thu Aug 20 16:36:14 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_daily0_dateNonBlank"
"Mombasa coords echoed","317","Mombasa coordinates echoed","","Thu Aug 20 16:36:03 UTC 2026","passed","Thu Aug 20 16:36:04 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","mombasa_coordsEchoed"
"Each documented alertType (rain, frost, extreme_wind, drought) returns 200/201 or 403","77","alertType=frost returns 200/201 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_frost_returns201Or403"
"GET /v1/sms/stats response body must not be blank","13","SMS stats response body is non-empty","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","smsStats_bodyNotEmpty"
"When 200 and list is non-empty, webhooks[0].timezone must be non-blank","15","webhooks[0].timezone is non-blank on 200","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","schema_firstWebhook_timezoneNonBlank"
"geo.is_datacenter must be true or false","365","geo.is_datacenter is boolean","","Thu Aug 20 16:36:24 UTC 2026","passed","Thu Aug 20 16:36:24 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","geo_isDatacenterIsBoolean"
"POST /v1/sms/bomet/register with only required fields returns 200/201 or 403/404","65","Minimal payload (phone + name only) returns 200/201 or 403","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_minimalPayload_returns201Or403"
"Omitting the lat parameter must return 400 Bad Request","160","Missing lat returns 400","","Thu Aug 20 16:35:51 UTC 2026","passed","Thu Aug 20 16:35:52 UTC 2026","","Input Validation Tests","common.ValidationTests","missingLat_returns400"
"POST /v1/webhooks returns 200/201 on Pro/Scale, 403 on Free","67","Create webhook returns 200/201 or 403","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","createWebhook_returns201Or403"
"winddirection 0–360","329","current.winddirection is 0–360","","Thu Aug 20 16:36:05 UTC 2026","passed","Thu Aug 20 16:36:06 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","current_winddirectionValid"
"A well-formed request must not return a server error","86","Valid request does not return 5xx","","Thu Aug 20 16:35:53 UTC 2026","passed","Thu Aug 20 16:35:53 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","createWebhook_no5xx"
"GET /v1/trees/quota returns 200 on Pro/Scale, 403 on Free","20","Tree quota returns 200 or 403","","Thu Aug 20 16:36:02 UTC 2026","passed","Thu Aug 20 16:36:02 UTC 2026","","Tree Quota Tests","forestry.TreeQuotaTests","treeQuota_returns200Or403"
"geo.city must be non-blank","346","geo.city is non-blank","","Thu Aug 20 16:36:24 UTC 2026","passed","Thu Aug 20 16:36:25 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","geo_cityNonBlank"
"hourly[0].time non-blank","242","[days=3] hourly[0].time is non-blank","","Thu Aug 20 16:36:14 UTC 2026","passed","Thu Aug 20 16:36:15 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_hourly0_timeNonBlank"
"GET /v1/current with valid coordinates returns 200","250","Current weather returns 200","","Thu Aug 20 16:36:28 UTC 2026","passed","Thu Aug 20 16:36:28 UTC 2026","","GET /v1/current Tests","weather.GetCurrentTests","returns200"
"Valid request returns no 5xx","276","Valid request does not return 5xx","","Thu Aug 20 16:36:08 UTC 2026","passed","Thu Aug 20 16:36:08 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","validRequest_no5xx"
"Missing lat+lon returns 400","195","Missing lat and lon returns 400","","Thu Aug 20 16:36:09 UTC 2026","passed","Thu Aug 20 16:36:09 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","missingBothParams_returns400"
"GET /v1/hourly with valid coordinates returns 200","260","Hourly forecast returns 200","","Thu Aug 20 16:36:29 UTC 2026","passed","Thu Aug 20 16:36:29 UTC 2026","","GET /v1/hourly Tests","weather.GetHourlyTests","returns200"
"Response must be application/json","361","weather-geo response is JSON","","Thu Aug 20 16:36:23 UTC 2026","passed","Thu Aug 20 16:36:24 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","isJson"
"used must be a non-negative integer","203","used is a non-negative integer","","Thu Aug 20 16:36:00 UTC 2026","passed","Thu Aug 20 16:36:01 UTC 2026","","Usage & Quota Tests","account.UsageTests","schema_used_isNonNegative"
"GET /v1/sms/health without auth should return 401 per spec.","15","No auth returns 401","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","smsHealth_noAuth_returns401"
"A well-formed request must not return a server error","53","Valid alert request does not return 5xx","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_no5xx"
"temp_max > temp_min","319","[days=7] daily[0].temp_max > temp_min","","Thu Aug 20 16:36:20 UTC 2026","passed","Thu Aug 20 16:36:20 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_daily0_tempMaxGreaterThanMin"
"API does not hard-cap at limit — used may exceed it. This test simply documents the observed values without failing.","293","used is a non-negative integer (overage allowed by API)","","Thu Aug 20 16:36:01 UTC 2026","passed","Thu Aug 20 16:36:01 UTC 2026","","Usage & Quota Tests","account.UsageTests","logic_usedDoesNotExceedLimit"
"Missing lat returns 400","145","Missing lat returns 400","","Thu Aug 20 16:36:04 UTC 2026","passed","Thu Aug 20 16:36:05 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","missingLat_returns400"
"interval must be 900s","383","[days=7] current.interval = 900","","Thu Aug 20 16:36:20 UTC 2026","passed","Thu Aug 20 16:36:21 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_current_intervalIs900"
"GET /v1/hourly for Mombasa returns 200","269","Hourly forecast for Mombasa returns 200","","Thu Aug 20 16:36:29 UTC 2026","passed","Thu Aug 20 16:36:29 UTC 2026","","GET /v1/hourly Tests","weather.GetHourlyTests","mombasa_returns200"
"Omitting the required 'to' field should return 400","60","Missing 'to' returns 400 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_missingTo_returns400"
"geo.lon must be −180 to 180","296","geo.lon is in −180 to 180","","Thu Aug 20 16:36:26 UTC 2026","passed","Thu Aug 20 16:36:26 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","geo_lonInRange"
"Private/loopback IP returns 400 or 403","115","ip-lookup with loopback IP returns 400 or 403","","Thu Aug 20 16:36:12 UTC 2026","passed","Thu Aug 20 16:36:12 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","loopbackIp_returns400Or403"
"GET /v1/forecast behaves identically to GET /v1/weather","301","Forecast alias returns 200","","Thu Aug 20 16:36:11 UTC 2026","passed","Thu Aug 20 16:36:12 UTC 2026","","GET /v1/forecast Tests","weather.GetForecastTests","returns200"
"is_day is 0 or 1","276","current.is_day is 0 or 1","","Thu Aug 20 16:36:09 UTC 2026","passed","Thu Aug 20 16:36:09 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","current_isDayBinary"
"Valid coordinates return 200","650","Valid request returns 200","","Thu Aug 20 16:36:02 UTC 2026","passed","Thu Aug 20 16:36:03 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","validRequest_returns200"
"Deleting a non-existent webhook ID returns a documented error code","67","Delete non-existent webhook returns documented error","","Thu Aug 20 16:35:53 UTC 2026","passed","Thu Aug 20 16:35:53 UTC 2026","","Delete Webhook Tests","webhooks.DeleteWebhookTests","deleteWebhook_nonExistentId_returnsDocumentedCode"
"winddirection 0–360","287","[days=7] current.winddirection in 0–360","","Thu Aug 20 16:36:17 UTC 2026","passed","Thu Aug 20 16:36:17 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_current_winddirectionInRange"
"lat echoed within 0.001°","268","[days=3] lat = -1.2921","","Thu Aug 20 16:36:18 UTC 2026","passed","Thu Aug 20 16:36:18 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_lat_isEchoed"
"POST /v1/trees/analyze with revoked token should return 401 per spec.","79","Analyze trees with revoked token returns 401","","Thu Aug 20 16:36:01 UTC 2026","passed","Thu Aug 20 16:36:01 UTC 2026","","Count Trees / Analyze Tests","forestry.CountTreesTests","analyzeTrees_revokedToken_returns401"
"POST /v1/sms/send with revoked token should return 401 per spec.","66","Revoked token returns 401","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_revokedToken_returns401"
"GET /v1/sms/stats response must be application/json","14","SMS stats response is application/json","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","smsStats_isJson"
"An empty Bearer token value should return 401","90","Empty token returns 401","","Thu Aug 20 16:35:50 UTC 2026","passed","Thu Aug 20 16:35:51 UTC 2026","","Authentication Tests","common.AuthenticationTests","emptyToken_returns401"
"hourly array non-empty","269","[days=7] hourly array is non-empty","","Thu Aug 20 16:36:16 UTC 2026","passed","Thu Aug 20 16:36:16 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_hourly_nonEmpty"
"GET /v1/insights with Free plan should return 403","213","Free plan: insights returns 403","","Thu Aug 20 16:35:45 UTC 2026","passed","Thu Aug 20 16:35:45 UTC 2026","","Authorization Tests","common.AuthorizationTests","insights_freeKeyReturns403"
"A well-formed authenticated request must not return 500 or 503","340","Valid request does not return 500 or 503","","Thu Aug 20 16:35:47 UTC 2026","passed","Thu Aug 20 16:35:47 UTC 2026","","Error Handling Tests","common.ErrorHandlingTests","validRequest_doesNotReturn5xx"
"POST /v1/trees/analyze without auth should return 401 per spec.","63","Analyze trees without auth returns 401","","Thu Aug 20 16:36:01 UTC 2026","passed","Thu Aug 20 16:36:02 UTC 2026","","Count Trees / Analyze Tests","forestry.CountTreesTests","analyzeTrees_noAuth_returns401"
"Explicit lat/lon returns 200","357","weather-geo with explicit coords returns 200","","Thu Aug 20 16:36:22 UTC 2026","passed","Thu Aug 20 16:36:22 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","withCoords_returns200"
"Non E.164 phone number in 'to' should return 400","71","Invalid 'to' returns 400 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_invalidTo_returns400"
"geo.lat must be −90 to 90","366","geo.lat is in −90 to 90","","Thu Aug 20 16:36:23 UTC 2026","passed","Thu Aug 20 16:36:23 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","geo_latInRange"
"/v1/forecast response must be application/json","381","Forecast alias returns JSON","","Thu Aug 20 16:36:11 UTC 2026","passed","Thu Aug 20 16:36:11 UTC 2026","","GET /v1/forecast Tests","weather.GetForecastTests","isJson"
"GET /v1/usage must not return 500 or 503 under normal conditions","346","Usage endpoint does not return 500 or 503","","Thu Aug 20 16:35:47 UTC 2026","passed","Thu Aug 20 16:35:47 UTC 2026","","Error Handling Tests","common.ErrorHandlingTests","usageRequest_doesNotReturn5xx"
"Response Content-Type must be application/json","64","Alert response is application/json","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_isJson"
"400 error is non-empty JSON","111","400 error response is non-empty JSON","","Thu Aug 20 16:36:08 UTC 2026","passed","Thu Aug 20 16:36:08 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","errorResponse_400_isJson"
"Documented: X-RateLimit-Reset should be present so callers know when to retry. Observed: header is not currently returned by the API on weather endpoints. Use GET /v1/usage to check quota instead.","757","X-RateLimit-Reset header (documented contract — currently absent)","","Thu Aug 20 16:35:45 UTC 2026","passed","Thu Aug 20 16:35:46 UTC 2026","","Error Handling Tests","common.ErrorHandlingTests","rateLimitReset_headerPresent"
"weathercode >= 0","315","current.weathercode is non-negative","","Thu Aug 20 16:36:06 UTC 2026","passed","Thu Aug 20 16:36:07 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","current_weathercodeNonNegative"
"API silently ignores days=0 and returns a default forecast — returns 200","301","days=0 is ignored — returns 200","","Thu Aug 20 16:35:52 UTC 2026","passed","Thu Aug 20 16:35:53 UTC 2026","","Input Validation Tests","common.ValidationTests","zeroDays_apiIsLenient"
"Usage response body must not be blank","250","Usage response body is non-empty","","Thu Aug 20 16:35:59 UTC 2026","passed","Thu Aug 20 16:35:59 UTC 2026","","Usage & Quota Tests","account.UsageTests","usage_bodyNotEmpty"
"hourly non-empty","267","[days=3] hourly array is non-empty","","Thu Aug 20 16:36:21 UTC 2026","passed","Thu Aug 20 16:36:21 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_hourly_nonEmpty"
"400 response content-type must be application/json","249","400 response has JSON content type","","Thu Aug 20 16:35:47 UTC 2026","passed","Thu Aug 20 16:35:47 UTC 2026","","Error Handling Tests","common.ErrorHandlingTests","badRequest_isJson"
"current.interval > 0","315","current.interval is positive","","Thu Aug 20 16:36:03 UTC 2026","passed","Thu Aug 20 16:36:03 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","current_intervalPositive"
"Revoked token must return 401","64","forecast14 revoked token returns 401","","Thu Aug 20 16:36:26 UTC 2026","passed","Thu Aug 20 16:36:26 UTC 2026","","GET /v1/forecast14 Tests","weather.GetForecast14Tests","revokedToken_returns401"
"hourly[0].time non-blank","263","[days=7] hourly[0].time is non-blank","","Thu Aug 20 16:36:16 UTC 2026","passed","Thu Aug 20 16:36:17 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_hourly0_timeNonBlank"
"daily length matches days=3","326","daily array length matches days","","Thu Aug 20 16:36:03 UTC 2026","passed","Thu Aug 20 16:36:03 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","daily_lengthMatchesDays"
"units must be 'metric'","262","[days=7] units = metric","","Thu Aug 20 16:36:19 UTC 2026","passed","Thu Aug 20 16:36:19 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_units_isMetric"
"temperature in −90 to 60","250","current.temperature is plausible","","Thu Aug 20 16:36:07 UTC 2026","passed","Thu Aug 20 16:36:07 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","current_temperaturePlausible"
"When 200/201, response body must not be blank","79","Response body is non-blank on 200/201","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","schema_responseBodyNonBlank"
"When 200 and list is non-empty, webhooks[0].createdAt must be a non-blank ISO-8601 string","17","webhooks[0].createdAt is non-blank on 200","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","schema_firstWebhook_createdAtNonBlank"
"A request with a valid Bearer token should return 200","343","Valid API key returns 200","","Thu Aug 20 16:35:51 UTC 2026","passed","Thu Aug 20 16:35:51 UTC 2026","","Authentication Tests","common.AuthenticationTests","validApiKey_returns200"
"days=7 returns 7-entry daily","289","days=7 returns 7-entry daily array","","Thu Aug 20 16:36:06 UTC 2026","passed","Thu Aug 20 16:36:06 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","daysFreePlanMax_sevenDailyEntries"
"ai_summary null when ai=false","248","[days=7] ai_summary is null when ai=false","","Thu Aug 20 16:36:18 UTC 2026","passed","Thu Aug 20 16:36:19 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_aiSummary_null"
"POST /v1/sms/bomet/register with revoked token should return 401 per spec.","72","Revoked token returns 401","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_revokedToken_returns401"
"GET /v1/trees/history response must be application/json","16","Tree history response is JSON","","Thu Aug 20 16:36:02 UTC 2026","passed","Thu Aug 20 16:36:02 UTC 2026","","Tree Quota Tests","forestry.TreeQuotaTests","treeHistory_isJson"
